Date,Scrip,Open,High,Low,Close,Volume
20230904,00DS30,2146.78608,2149.08345,2142.22591,2143.49438,5716120000
20230904,00DSES,1373.93302,1375.822,1371.36538,1372.11775,5716120000
20230904,00DSEX,6311.60623,6321.79132,6306.44623,6307.81651,5716120000
20230904,1STPRIMFMF,15,15,14.7,14.9,81755
20230904,AAMRANET,62.8,63.2,61.4,61.8,473720
20230904,AAMRATECH,33.1,33.4,32.8,33,101113
20230904,ABB1STMF,5.2,5.2,5.2,5.2,49745
20230904,ABBANK,9.7,9.7,9.7,9.7,1004
20230904,ABBLPBOND,1005,1005,1005,1005,9
20230904,ACFL,26.5,26.5,26.5,26.5,10
20230904,ACI,260.2,260.2,260.2,260.2,57
20230904,ACIFORMULA,155,155,155,155,81
20230904,ACMELAB,85.2,85.5,85,85,154798
20230904,ACTIVEFINE,19.3,19.3,19.3,19.3,2
20230904,ADNTEL,133.4,133.4,128.1,129.4,189923
20230904,ADVENT,24.2,24.3,23.9,24,699463
20230904,AFCAGRO,23.5,23.5,23.5,23.5,545
20230904,AFTABAUTO,26.3,26.4,25.7,25.8,86897
20230904,AGNISYSL,27.2,27.4,26.4,26.6,1293614
20230904,AGRANINS,41,42,40.6,41.6,110228
20230904,AIBL1STIMF,7.3,7.3,7.3,7.3,28
20230904,AIL,89,90.1,87.7,87.9,584001
20230904,AL-HAJTEX,181,183.4,178.7,180.9,119615
20230904,ALARABANK,23.9,24,23.9,24,22133
20230904,ALIF,13.3,13.3,13.3,13.3,3530
20230904,ALLTEX,17.5,17.5,17.5,17.5,1000
20230904,AMBEEPHA,655,672.5,655,667.5,12050
20230904,AMCL(PRAN),274.4,276.8,270.6,271.2,9168
20230904,ANLIMAYARN,35,35.6,34.1,34.2,39759
20230904,ANWARGALV,213.3,213.3,213.3,213.3,206
20230904,AOL,36.5,36.5,36.5,36.5,137
20230904,APEXFOODS,411,416.9,405.6,406.2,79823
20230904,APEXFOOT,289.7,289.8,284.7,285.2,9425
20230904,APEXSPINN,132.1,133.8,131,131.9,21198
20230904,APEXTANRY,104.6,108.6,104.6,106.2,14047
20230904,ARAMIT,272.9,273.9,271,272.5,9612
20230904,ARAMITCEM,26.7,29.3,26.5,28.1,1422661
20230904,ASIAINS,50.6,51.7,49.8,51.2,850833
20230904,ASIAPACINS,58.6,63.3,58.6,61.8,746104
20230904,AZIZPIPES,105.3,105.3,102.9,103.2,71196
20230904,BANGAS,126.3,127.9,123.1,124.2,125026
20230904,BANKASIA,20.2,20.2,20.2,20.2,248
20230904,BARKAPOWER,21.3,21.3,21.3,21.3,10
20230904,BATASHOE,995,995,995,995,100
20230904,BATBC,518.7,518.7,518.7,518.7,365
20230904,BAYLEASING,23.9,23.9,23.9,23.9,8
20230904,BBS,21.6,21.6,21.6,21.6,8003
20230904,BDAUTOCA,135.6,135.6,133.4,133.6,15737
20230904,BDCOM,36.3,36.7,35.5,35.8,514550
20230904,BDLAMPS,252.2,252.2,252.2,252.2,1
20230904,BDTHAI,13.7,13.7,13.3,13.3,622716
20230904,BDTHAIFOOD,34.8,34.8,34.8,34.8,1324
20230904,BDWELDING,22.9,23.4,22.6,22.7,103871
20230904,BEACHHATCH,45.9,46.2,45.4,45.6,491879
20230904,BEACONPHAR,245,245,245,245,120
20230904,BENGALWTL,25.1,25.2,24.6,24.7,236778
20230904,BERGERPBL,1875,1930,1870,1876,3845
20230904,BEXGSUKUK,85,85,85,85,1
20230904,BEXIMCO,115.6,115.6,115.6,115.6,1330
20230904,BGIC,51,51.3,50.4,50.9,27075
20230904,BIFC,9.5,9.5,9.5,9.5,1000
20230904,BNICL,56.7,57.1,56.7,56.7,190277
20230904,BPML,74.7,75.5,74,74.2,375264
20230904,BRACBANK,35.8,35.8,35.8,35.8,1641
20230904,BSC,117,117.1,115.9,116.1,615727
20230904,BSCCL,218.9,218.9,218.9,218.9,114
20230904,BSRMSTEEL,63.9,63.9,63.9,63.9,32
20230904,BXPHARMA,146.2,146.2,146.2,146.2,269
20230904,CAPMBDBLMF,9.9,9.9,9.9,9.9,400
20230904,CAPMIBBLMF,12,12.3,11.7,11.9,397313
20230904,CENTRALINS,37.6,38.3,37.6,38.1,80350
20230904,CENTRALPHL,13.3,13.4,12.6,12.7,1728539
20230904,CITYBANK,21.4,21.4,21.4,21.4,1324
20230904,CITYGENINS,50,50.5,49,49.4,206871
20230904,CLICL,55.5,56.1,55,55.1,72975
20230904,CNATEX,10.2,10.5,10.2,10.3,2082706
20230904,CONFIDCEM,89,89,89,89,5
20230904,CONTININS,49.9,50,47.3,48.6,2752219
20230904,COPPERTECH,36.9,36.9,36.9,36.9,300
20230904,CRYSTALINS,68,72.4,66.8,71.1,2216800
20230904,CVOPRL,176.2,177.7,172.6,173.1,109186
20230904,DACCADYE,13.2,13.4,13.2,13.2,359411
20230904,DAFODILCOM,81.9,83.7,80.2,81.6,384020
